,timestamp,hashrate
0,1598947801,40784802904.571
1,1598948401,40646730825.557
2,1598949001,41110905471.084
3,1598949601,41399037264.319
4,1598950201,41700496133.912
5,1598950801,41524921193.335
6,1598951401,42783198518.95
7,1598952001,43584634125.433
8,1598952601,43246423381.513
9,1598953202,43246423381.513
10,1598953801,43024863111.31
11,1598954402,43518236769.677
12,1598955002,43575360109.594
13,1598955601,43575360109.594
14,1598956201,43575360109.594
15,1598956801,42003110548.57
16,1598957402,42045176035.181
17,1598958002,42025895002.49
18,1598958601,42428002507.47
19,1598959201,42428002507.47
20,1598959801,41469683595.438
21,1598960401,41129066798.295
22,1598961001,41129066798.295
23,1598961601,41050101940.363
24,1598962201,41482190937.681
25,1598962801,41721497488.335
26,1598963401,42368190697.774
27,1598965201,43275000403.212
28,1598965801,43518357833.302
29,1598966401,43117989984.514
30,1598967002,43101443590.846
31,1598967602,43237426865.899
32,1598968201,42698409796.068
33,1598968801,43232391463.635
34,1598969401,43231335731.877
35,1598970001,42827823771.714
36,1598970601,42750450981.423
37,1598971201,42966571747.828
38,1598971801,43212050070.8
39,1598972402,43463116598.921
40,1598973001,43463116598.921
41,1598973601,43019377998.026
42,1598974201,42786810753.378
43,1598974801,42808060371.413
44,1598975401,42761378929.968
45,1598976002,42761378929.968
46,1598976601,42743490279.932
47,1598977201,42371652231.311
48,1598977801,42695584407.244
49,1598978401,42695235278.104
50,1598979001,42559355343.221
51,1598979601,42758709104.188
52,1598980201,42969282400.334
53,1598980802,43012299179.333
54,1598981401,43441112078.183
55,1598982002,43565512877.469
56,1598982601,43565512877.469
57,1598983202,42874304218.885
58,1598983801,42668839197.333
59,1598984401,42502039852.808
60,1598985001,39559603400.403
61,1598985601,39516600150.731
62,1598986201,40115290229.958
63,1598986801,39924822806.648
64,1598987401,43415860972.914
65,1598988001,43399681735.756
66,1598988601,43399681735.756
67,1598989201,43002960852.612
68,1598989801,43002960852.612
69,1598990402,43356524513.064
70,1598991001,43356524513.064
71,1598991602,40693120788.815
72,1598992201,40693120788.815
