,timestamp,difficulty,hashrate,block_time
139,1589500800,49006,3499067960618,60.46
140,1589414400,48891,3508298722722,59.71
141,1589328000,49137,3513612288158,60.13
142,1589241600,49012,3497831042517,60.86
143,1589155200,48593,3486001158336,60.22
144,1589068800,51095,3653087757608,60.74
145,1588982400,50650,3630945862726,59.97
146,1588896000,52885,3768649691235,61.26
147,1588809600,47110,3422957796928,58.72
148,1588723200,332355,23800434949730,53.79
149,1588636800,400794,28587902301111,60.31
150,1588550400,418894,29892324201901,60.6
151,1588464000,423533,30191611817110,60.51
152,1588377600,421788,30198548747393,60.08
153,1588291200,424118,30361888584845,60.08
154,1588204800,422410,30105975651278,60.57
155,1588118400,436475,31291397390093,60.29
156,1588032000,417153,29797655750960,60.24
157,1587945600,419364,30002803630235,60.03
158,1587859200,438637,31278017266999,60.35
159,1587772800,411517,29388861401777,60.35
160,1587686400,408113,29415795617883,58.78
161,1587600000,394011,28005640682728,61.47
162,1587513600,406515,28974460557767,60.61
163,1587427200,411504,29516555716421,59.77
164,1587340800,426437,30373378024386,61.11
165,1587254400,451500,32367859941691,60.09
166,1587168000,450919,32307924265963,60.88
167,1587081600,445757,31952908919437,60.02
168,1586995200,441038,31543421365387,60.47
169,1586908800,476764,33984788662443,60.59
170,1586822400,477100,34236757496085,60.14
171,1586736000,479943,34407962870636,59.95
172,1586649600,498380,35729422312296,60.12
173,1586563200,467784,33426198977624,60.32
174,1586476800,476476,34032561235281,60.63
175,1586390400,480740,34491129432632,59.58
176,1586304000,461843,32901818900112,60.74
177,1586217600,490084,35019961874621,60.31
178,1586131200,467839,33582852533210,59.75
179,1586044800,469381,33613848222331,60.33
180,1585958400,490508,35043552166242,60.39
181,1585872000,450348,32141100898337,60.28
182,1585785600,482966,34626684869953,60.37
183,1585699200,481543,34464699932286,60.18
184,1585612800,488504,34898325231821,60.55
185,1585526400,485538,34730401418161,59.95
186,1585440000,500011,35768003191397,60.27
187,1585353600,483691,34728527240532,59.75
188,1585267200,439734,31517366846252,60.26
189,1585180800,463049,32952996963569,60.91
